Postal Code,municipality
1450,SAINT-GERY
4120,ROTHEUX-RIMIERE
4651,HERVE
6030,MARCHIENNE-AU-PONT
1150,WOLUWE-SAINT-PIERRE
9400,Ninove
6850,PALISEUL
6767,HARNONCOURT
1050,IXELLES
5646,STAVE
4653,BOLLAND
7608,WIERS
3746,Bilzen
7180,SENEFFE
6140,FONTAINE-L'EVEQUE
4731,Raeren
9170,Sint-Gillis-Waas
2550,Kontich
3550,Heusden-Zolder
4684,HACCOURT
1501,Halle
7021,HAVRE
2050,Antwerpen
5360,NATOYE
8755,Ruiselede
6672,BEHO
8680,Koekelare
3950,Bocholt
4761,Bullange
7740,PECQ
6590,MOMIGNIES
1831,Machelen
3668,As
2470,Retie
9340,Lede
1310,LA HULPE
5363,EMPTINNE
4990,LIERNEUX
8420,De Haan
6536,THUILLIES
2300,Turnhout
6181,GOUY-LEZ-PIETON
7080,EUGIES
2980,Zoersel
6075,FLEURUS
8431,Middelkerke
7640,MAUBRAY
3793,Voeren
3832,Wellen
6929,GEMBES
6661,MONT
2280,Grobbendonk
1500,Halle
5060,AUVELAIS
3071,Kortenberg
3722,Kortessem
3910,Pelt
3150,Haacht
9000,Gent
6032,MONT-SUR-MARCHIENNE
6717,ATTERT
9270,Laarne
6250,AISEAU
5190,MOUSTIER
4730,Raeren
6543,BIENNE-LEZ-HAPPART
3770,Riemst
1650,Beersel
4821,ANDRIMONT
6462,VAULX
4987,STOUMONT
2243,Zandhoven
3321,Hoegaarden
3454,Geetbets
9920,Lievegem
6044,ROUX
5000,NAMUR
3742,Bilzen
5332,CRUPET
3390,Tielt-Winge
8433,Middelkerke
1200,WOLUWE-SAINT-LAMBERT
8810,Lichtervelde
6142,LEERNES
5150,FLOREFFE
9570,Lierde
6530,THUIN
3806,Sint-Truiden
9290,Berlare
4780,Saint-Vith
2290,Vorselaar
5562,CUSTINNE
5330,MAILLEN
1370,JODOIGNE
9040,Gent
9990,Maldegem
7500,TOURNAI
6838,CORBION
1083,GANSHOREN
9240,Zele
1560,Hoeilaart
7350,MONTROEUL-SUR-HAINE
6750,MUSSON
7610,RUMES
3190,Boortmeerbeek
1472,VIEUX-GENAPPE
5541,HASTIERE-PAR-DELA
6223,WAGNELEE
7950,CHIEVRES
2530,Boechout
9200,Dendermonde
4287,LINCENT
8691,Alveringem
2811,Mechelen
1402,THINES
4845,SART
2820,Bonheiden
3461,Bekkevoort
4252,OMAL
3221,Holsbeek
6900,WAHA
1081,KOEKELBERG
3270,Scherpenheuvel-Zichem
9406,Ninove
8650,Houthulst
1348,OTTIGNIES
8956,Heuvelland
5021,BONINNE
3020,Herent
2812,Mechelen
5543,HEER
6141,FORCHIES-LA-MARCHE
2030,Antwerpen
3803,Sint-Truiden
5572,FOCANT
2382,Ravels
7322,VILLE-POMMEROEUL
3090,Overijse
9620,Zottegem
7300,BOUSSU
3900,Pelt
2140,Antwerpen
5003,SAINT-MARC
4650,GRAND-RECHAIN
5530,DURNAL
1390,ARCHENNES
2260,Westerlo
8581,Avelgem
4701,Eupen
6820,FLORENVILLE
1008,BRUXELLES
8760,Meulebeke
6698,GRAND-HALLEUX
6950,NASSOGNE
6640,NIVES
2242,Zandhoven
4040,HERSTAL
9820,Merelbeke
6686,FLAMIERGE
9571,Lierde
2950,Kapellen
1400,NIVELLES
1212,SAINT-JOSSE-TEN-NOODE
7520,TEMPLEUVE
9991,Maldegem
3110,Rotselaar
6180,COURCELLES
1367,GEEST-GEROMPONT-PETIT-ROSIERE
9551,Herzele
4121,NEUVILLE-EN-CONDROZ
5590,LEIGNON
4711,Lontzen
1044,SCHAERBEEK
6690,PETIT-THIER
7543,MOURCOURT
3600,Genk
9940,Evergem
6832,SENSENRUTH
1380,LASNE-CHAPELLE-SAINT-LAMBERT
5660,COUVIN
7501,ORCQ
6980,BEAUSAINT
3798,Voeren
8552,Zwevegem
7742,HERINNES
2328,Hoogstraten
5351,HAILLOT
3740,Bilzen
3582,Beringen
3724,Kortessem
2990,Wuustwezel
6511,STREE
8978,Poperinge
8000,Brugge
9230,Wetteren
3700,Tongeren
6530,LEERS-ET-FOSTEAU
1702,Dilbeek
3040,Huldenberg
4453,VILLERS-SAINT-SIMEON
6666,WIBRIN
2322,Minderhout
9260,Wichelen
6723,HABAY-LA-VIEILLE
8690,Alveringem
6830,ROCHEHAUT
1049,EVERE
8972,Poperinge
8951,Heuvelland
3272,Scherpenheuvel-Zichem
3201,Aarschot
3080,Tervuren
4351,HODEIGE
4654,CHARNEUX
6463,LOMPRET
7534,MAULDE
6940,GRANDHAN
4610,QUEUE-DU-BOIS
3200,Aarschot
7533,THIMOUGIES
1755,Gooik
2160,Wommelgem
8210,Zedelgem
9830,Sint-Martens-Latem
7943,GAGES
4650,CHAINEUX
7972,ELLIGNIES-SAINTE-ANNE
1730,Asse
3078,Kortenberg
6706,AUTELBAS
2801,Mechelen
4960,BEVERCE
3630,Maasmechelen
5651,GOURDINNE
2440,Geel
7618,TAINTIGNIES
4861,SOIRON
4652,XHENDELESSE
4030,GRIVEGNEE
6742,CHANTEMELLE
1600,Sint-Pieters-Leeuw
2920,Kalmthout
3440,Zoutleeuw
2222,Heist-op-den-Berg
9030,Gent
7803,ATH
1070,ANDERLECHT
7800,ATH
6600,WARDIN
6813,TERMES
1700,Dilbeek
3830,Wellen
3670,Oudsbergen
7332,SIRAULT
5576,FROIDFONTAINE
1457,WALHAIN-SAINT-PAUL
2200,Herentals
7010,MAISIERES
3732,Hoeselt
1850,Grimbergen
7783,PLOEGSTEERT
3720,Kortessem
3381,Glabbeek
7730,ESTAIMBOURG
7812,VILLERS-SAINT-AMAND
8957,Mesen
8890,Moorslede
7743,OBIGIES
1430,REBECQ-ROGNON
4633,MELEN
4601,ARGENTEAU
5542,BLAIMONT
8750,Wingene
7134,RESSAIX
4300,WAREMME
4608,NEUFCHATEAU
2330,Merksplas
6952,GRUNE
4632,CEREXHE-HEUSEUX
8511,Kortrijk
2110,Wijnegem
6922,HALMA
2020,Antwerpen
7971,WADELINCOURT
4161,VILLERS-AUX-TOURS
8211,Zedelgem
7548,WARCHIN
7542,MONT-SAINT-AUBERT
1932,Zaventem
8587,Spiere-Helkijn
1851,Grimbergen
2170,Antwerpen
6674,MONTLEBAN
1930,Zaventem
8647,Lo-Reninge
4834,GOE
1653,Beersel
6820,MUNO
1980,Zemst
3220,Holsbeek
7340,WASMES
6853,FRAMONT
6834,BELLEVAUX
4051,VAUX-SOUS-CHEVREMONT
6690,BIHAIN
2930,Brasschaat
7863,GHOY
9900,Eeklo
8790,Waregem
6971,CHAMPLON
8740,Pittem
6860,LEGLISE
4162,HODY
4254,LIGNEY
7390,QUAREGNON
6593,MACQUENOISE
3060,Bertem
9980,Sint-Laureins
9771,Kruisem
9931,Lievegem
1852,Grimbergen
5380,NOVILLE-LES-BOIS
3472,Kortenaken
6461,VIRELLES
2223,Heist-op-den-Berg
6120,HAM-SUR-HEURE
5500,ANSEREMME
7910,CORDES
7506,WILLEMEAU
6567,LABUISSIERE
3202,Aarschot
5540,HASTIERE-PAR-DELA
8851,Ardooie
8370,Blankenberge
4451,VOROUX-LEZ-LIERS
4670,MORTIER
1840,Londerzeel
4840,WELKENRAEDT
6001,MARCINELLE
9111,Sint-Niklaas
7531,HAVINNES
3001,Leuven
6238,LIBERCHIES
4837,MEMBACH
4470,SAINT-GEORGES-SUR-MEUSE
4560,CLAVIER
8830,Hooglede
7063,NEUFVILLES
1410,WATERLOO
1473,GLABAIS
3717,Herstappe
1741,Ternat
6210,FRASNES-LEZ-GOSSELIES
4750,Butgenbach
9690,Kluisbergen
1785,Merchtem
3000,Leuven
9988,Sint-Laureins
6150,ANDERLUES
8500,Kortrijk
3211,Lubbeek
9450,Haaltert
4190,FERRIERES
4452,WIHOGNE
9881,Aalter
7321,BLATON
6769,MEIX-DEVANT-VIRTON
6540,LOBBES
4920,AYWAILLE
2430,Laakdal
1733,Asse
3400,Landen
8700,Tielt
9401,Ninove
4760,Bullange
7802,ORMEIGNIES
5580,EPRAVE
5362,ACHET
9930,Lievegem
7602,BURY
7862,OGY
9075,Gent
4163,TAVIER
8432,Middelkerke
4590,OUFFET
3660,Oudsbergen
9100,Sint-Niklaas
4606,SAINT-ANDRE
5002,SAINT-SERVAIS
9600,Ronse
1090,JETTE
5333,SORINNE-LA-LONGUE
5640,METTET
3970,Leopoldsburg
6951,BANDE
4261,LATINNE
4000,ANGLEUR
3111,Rotselaar
6986,HALLEUX
3012,Leuven
6987,RENDEUX
2099,Antwerpen
9688,Maarkedal
8970,Poperinge
7970,BELOEIL
9190,Stekene
3128,Tremelo
4791,Burg-Reuland
3790,Voeren
2850,Boom
5670,OLLOY-SUR-VIROIN
4400,CHOKIER
5370,JENEFFE
4630,SOUMAGNE
7060,HORRUES
4000,LIEGE
6921,CHANLY
2230,Herselt
7780,COMINES
7070,LE ROEULX
6210,WAYAUX
3051,Oud-Heverlee
8434,Middelkerke
1470,GENAPPE
7973,STAMBRUGES
6464,BOURLERS
3583,Beringen
8958,Heuvelland
9060,Zelzate
4260,VILLE-EN-HESBAYE
1360,THOREMBAIS-SAINT-TROND
4680,HERMEE
3621,Lanaken
8530,Harelbeke
1340,OTTIGNIES
6440,FROID-CHAPELLE
6762,SAINT-MARD
7536,VAULX
4032,CHENEE
3120,Tremelo
4217,HERON
4710,Lontzen
7511,ORCQ
7382,AUDREGNIES
8377,Zuienkerke
2500,Lier
4983,BASSE-BODEUX
8560,Wevelgem
6790,AUBANGE
5310,EGHEZEE
4631,EVEGNEE-TIGNEE
7033,CUESMES
3271,Scherpenheuvel-Zichem
1670,Pepingen
5140,SOMBREFFE
4260,FALLAIS
7823,GIBECQ
4681,HERMALLE-SOUS-ARGENTEAU
4790,Burg-Reuland
8580,Avelgem
6720,HABAY-LA-NEUVE
2360,Oud-Turnhout
3920,Lommel
1671,Pepingen
1080,MOLENBEEK-SAINT-JEAN
7502,ESPLECHIN
8573,Anzegem
9500,Geraardsbergen
4784,Saint-Vith
5080,EMINES
8780,Oostrozebeke
1931,Machelen
8940,Wervik
5334,FLOREE
9850,Deinze
2960,Brecht
2018,Antwerpen
6560,SOLRE-SUR-SAMBRE
5537,BIOUL
6591,MACON
7130,BINCHE
8791,Waregem
8660,De Panne
9831,Sint-Martens-Latem
5022,COGNELEE
1047,IXELLES
1082,BERCHEM-SAINTE-AGATHE
5570,HONNAY
3510,Hasselt
7031,VILLERS-SAINT-GHISLAIN
2380,Ravels
5563,HOUR
8920,Langemark-Poelkapelle
3320,Hoegaarden
4890,CLERMONT
3501,Hasselt
9681,Maarkedal
5360,HAMOIS
7782,PLOEGSTEERT
2390,Malle
3473,Kortenaken
7712,HERSEAUX
4218,COUTHUIN
5330,ASSESSE
4171,POULSEUR
2560,Nijlen
4347,FEXHE-LE-HAUT-CLOCHER
3370,Boutersem
6920,WELLIN
2431,Laakdal
2460,Kasterlee
4624,ROMSEE
3210,Lubbeek
9960,Assenede
7850,HOVES
6852,OPONT
4140,SPRIMONT
3053,Oud-Heverlee
5564,WANLIN
5032,BOSSIERE
6688,LONGCHAMPS
3890,Gingelom
8583,Avelgem
1601,Sint-Pieters-Leeuw
8880,Ledegem
7801,IRCHONWELZ
6020,DAMPREMY
4577,VIERSET-BARSE
3140,Keerbergen
3831,Wellen
1000,IXELLES
4050,CHAUDFONTAINE
7880,FLOBECQ
5680,ROMEREE
8950,Heuvelland
8953,Heuvelland
6042,LODELINSART
7510,ORCQ
1935,Zaventem
1043,SCHAERBEEK
7061,THIEUSIES
3460,Bekkevoort
6880,BERTRIX
1570,Galmaarden
6741,VANCE
1761,Roosdaal
6761,LATOUR
1830,Machelen
6534,GOZEE
7513,KAIN
2180,Antwerpen
4607,BOMBAYE
8793,Waregem
3511,Hasselt
1420,BRAINE-L'ALLEUD
5560,CIERGNON
5503,SORINNES
4683,VIVEGNIS
6990,HOTTON
3470,Kortenaken
9099,Gent
3941,Hechtel-Eksel
3191,Boortmeerbeek
6920,SOHIER
1981,Zemst
2890,Puurs-Sint-Amands
9772,Kruisem
9180,Moerbeke
5641,FURNAUX
4770,Amblève
9520,Sint-Lievens-Houtem
1428,LILLOIS-WITTERZEE
3512,Hasselt
4980,WANNE
1910,Kampenhout
4802,HEUSY
7012,JEMAPPES
2070,Zwijndrecht
6030,GOUTROUX
2547,Lint
3723,Kortessem
2880,Bornem
7750,ANSEROEUL
1190,FOREST
9981,Sint-Laureins
6470,SAUTIN
4831,BILSTAIN
4342,HOGNOUL
5350,HAILLOT
4041,MILMORT
9220,Hamme
2490,Balen
9860,Oosterzele
6594,BEAUWELZ
5020,FLAWINNE
9050,Gent
6441,ERPION
9255,Buggenhout
4682,HEURE-LE-ROMAIN
6982,SAMREE
4102,OUGREE
5024,MARCHE-LES-DAMES
6792,HALANZY
6220,FLEURUS
1030,SCHAERBEEK
9982,Sint-Laureins
1800,Vilvoorde
3940,Hechtel-Eksel
1673,Pepingen
8501,Kortrijk
3945,Ham
4830,LIMBOURG
6811,SUXY
3930,Hamont-Achel
1540,Herne
6721,ANLIER
8450,Bredene
6673,CHERAIN
9910,Aalter
7538,VEZON
3384,Glabbeek
2900,Schoten
8200,Brugge
1320,BEAUVECHAIN
1461,HAUT-ITTRE
9051,Gent
9160,Lokeren
7822,MESLIN-L'EVEQUE
7503,FROYENNES
4970,STAVELOT
6670,LIMERLE
3360,Bierbeek
4550,YERNEE-FRAINEUX
5504,FOY-NOTRE-DAME
7904,LEUZE
8930,Menen
1701,Dilbeek
5081,SAINT-DENIS
3870,Heers
1495,MARBAIS
9041,Gent
8553,Zwevegem
3450,Geetbets
7100,LA LOUVIERE
4630,EVEGNEE-TIGNEE
3520,Zonhoven
9308,Aalst
4623,MAGNEE
3380,Glabbeek
2480,Dessel
5101,LOYERS
7133,BUVRINNES
9280,Lebbeke
4537,VERLAINE
7643,FONTENOY
2000,Antwerpen
6984,HIVES
8572,Anzegem
5376,MIECRET
9992,Maldegem
7530,GAURAIN-RAMECROIX
1035,SCHAERBEEK
7030,SAINT-SYMPHORIEN
2350,Vosselaar
4480,CLERMONT-SOUS-HUY
3540,Herk-de-Stad
9310,Aalst
1350,JAUCHE
1853,Grimbergen
7380,BAISIEUX
4350,LAMINE
5012,NAMUR
4257,CORSWAREM
2600,Antwerpen
4141,LOUVEIGNE
7642,CALONNE
4800,VERVIERS
2060,Antwerpen
4357,DONCEEL
4721,La Calamine
1332,GENVAL
2570,Duffel
3680,Maaseik
4801,STEMBERT
6831,NOIREFONTAINE
4099,AWANS
9870,Zulte
4771,Amblève
8792,Waregem
3590,Diepenbeek
1640,Sint-Genesius-Rode
2250,Olen
9890,Gavere
2100,Antwerpen
6953,FORRIERES
2531,Boechout
6637,HOLLANGE
7301,HORNU
9451,Haaltert
3971,Leopoldsburg
7903,CHAPELLE-A-OIE
4557,SOHEIT-TINLOT
7160,CHAPELLE-LEZ-HERLAIMONT
9404,Ninove
6681,LAVACHERIE
9800,Deinze
6782,HABERGY
4432,ALLEUR
1331,ROSIERES
8610,Kortemark
4031,ANGLEUR
6800,BRAS
6927,TELLIN
5550,SUGNY
1033,SCHAERBEEK
9552,Herzele
7191,ECAUSSINNES-D'ENGHIEN
6836,DOHAN
7011,GHLIN
4621,RETINNE
7190,ECAUSSINNES-D'ENGHIEN
4181,FILOT
2221,Heist-op-den-Berg
4210,LAMONTZEE
6182,SOUVRET
8340,Damme
3391,Tielt-Winge
6997,EREZEE
8020,Oostkamp
6660,HOUFFALIZE
8770,Ingelmunster
6043,RANSART
7811,ARBRE
1790,Affligem
8730,Beernem
2580,Putte
6211,MELLET
7522,HERTAIN
6680,TILLET
6740,ETALLE
9630,Zwalm
6760,ETHE
3130,Begijnendijk
6730,TINTIGNY
7861,WANNEBECQ
6812,SUXY
9932,Lievegem
9790,Wortegem-Petegem
1547,Bever
3620,Lanaken
8640,Vleteren
7140,MORLANWELZ-MARIEMONT
4900,SPA
6230,LUTTRE
5630,SOUMOY
6924,LOMPREZ
7331,BAUDOUR
4219,MEEFFE
5353,GOESNES
1950,Kraainem
4877,OLNE
9472,Denderleeuw
8421,De Haan
8800,Roeselare
9042,Gent
4020,JUPILLE-SUR-MEUSE
4650,HERVE
8551,Zwevegem
1620,Drogenbos
6780,HONDELANGE
4620,FLERON
6280,ACOZ
7810,MAFFLE
7320,BERNISSART
8510,Kortrijk
1652,Beersel
6224,WANFERCEE-BAULET
4782,Saint-Vith
6823,VILLERS-DEVANT-ORVAL
5020,VEDRIN
5621,HANZINELLE
6200,BOUFFIOULX
8710,Wielsbeke
7387,AUTREPPE
4450,VILLERS-SAINT-SIMEON
4053,EMBOURG
5364,SCHALTIN
1780,Wemmel
8900,Ieper
7760,CELLES
7370,DOUR
2610,Antwerpen
2340,Beerse
8670,Koksijde
2830,Willebroek
2800,Mechelen
5521,SERVILLE
9880,Aalter
5644,ERMETON-SUR-BIERT
7333,TERTRE
1674,Pepingen
4820,DISON
4860,PEPINSTER
1031,SCHAERBEEK
5501,LISOGNE
8570,Anzegem
9700,Oudenaarde
4880,AUBEL
2540,Hove
6183,TRAZEGNIES
8520,Kuurne
3350,Linter
5523,SOMMIERE
1630,Linkebeek
5560,MESNIL-EGLISE
5377,HEURE
3010,Leuven
9130,Beveren
1325,CHAUMONT-GISTOUX
8952,Heuvelland
7062,NAAST
1401,BAULERS
9112,Sint-Niklaas
2288,Grobbendonk
1060,SAINT-GILLES
4170,COMBLAIN-AU-PONT
2520,Ranst
8840,Staden
5372,MEAN
7890,WODECQ
1330,RIXENSART
1300,LIMAL
6061,MONTIGNIES-SUR-SAMBRE
6663,MABOMPRE
6724,HOUDEMONT
1050,SAINT-GILLES
6533,BIERCEE
9403,Ninove
5340,GESVES
2310,Rijkevorsel
8860,Lendelede
6000,CHARLEROI
2660,Antwerpen
4458,FEXHE-SLINS
1602,Sint-Pieters-Leeuw
8904,Ieper
6870,ARVILLE
7864,DEUX-ACREN
6970,TENNEVILLE
7600,PERUWELZ
2381,Ravels
3294,Diest
1474,WAYS
4700,Eupen
7803,BOUVIGNIES
7951,TONGRE-NOTRE-DAME
6531,BIESME-SOUS-THUIN
1170,WATERMAEL-BOITSFORT
1471,LOUPOIGNE
1460,ITTRE
2870,Puurs-Sint-Amands
4360,LENS-SUR-GEER
6592,MONCEAU-IMBRECHIES
7860,LESSINES
7941,ATTRE
7906,GALLAIX
2491,Balen
8908,Ieper
4530,WARNANT-DREYE
7781,HOUTHEM
1046,EVERE
1804,Vilvoorde
4460,VELROUX
1934,Machelen
4052,BEAUFAYS
2323,Hoogstraten
7784,WARNETON
3070,Kortenberg
9680,Maarkedal
9090,Melle
7000,MONS
1476,HOUTAIN-LE-VAL
2387,Baarle-Hertog
9031,Gent
1421,OPHAIN-BOIS-SEIGNEUR-ISAAC
8310,Brugge
6660,NADRIN
7901,THIEULAIN
8902,Ieper
6040,JUMET
5300,BONNEVILLE
5524,GERIN
3212,Lubbeek
5354,JALLET
9402,Ninove
3640,Kinrooi
7504,FROIDMONT
5544,AGIMONT
2370,Arendonk
3054,Oud-Heverlee
4728,La Calamine
9550,Herzele
6060,GILLY
1210,SAINT-JOSSE-TEN-NOODE
3545,Halen
7170,MANAGE
3631,Maasmechelen
4420,SAINT-NICOLAS
7141,CARNIERES
5502,THYNES
4800,HEUSY
4841,HENRI-CHAPELLE
3404,Landen
8400,Oostende
6111,LANDELIES
8582,Avelgem
4317,CELLES
4783,Saint-Vith
9140,Temse
1541,Herne
9667,Horebeke
4101,JEMEPPE
4520,MOHA
7540,MOURCOURT
1140,EVERE
4850,MONTZEN
5570,JAVINGUE
1861,Meise
6747,SAINT-LEGER
7041,GIVRY
1750,Lennik
4340,VILLERS-L'EVEQUE
3730,Hoeselt
6542,SARS-LA-BUISSIERE
2650,Edegem
6692,PETIT-THIER
3840,Borgloon
2235,Hulshout
9080,Lochristi
6856,FAYS-LES-VENEURS
6887,SAINT-MEDARD
9521,Sint-Lievens-Houtem
4851,GEMMENICH
7181,FELUY
1000,SAINT-JOSSE-TEN-NOODE
1731,Asse
8300,Knokke-Heist
9961,Assenede
4280,HANNUT
4910,LA REID
7330,SAINT-GHISLAIN
7911,FRASNES-LEZ-BUISSENAL
6099,FLEURUS
9810,Nazareth
4852,HOMBOURG
2400,Dessel
5004,BOUGE
4870,OLNE
8980,Zonnebeke
1404,BORNIVAL
2275,Lille
1760,Roosdaal
6840,NEUFCHATEAU
8554,Zwevegem
4367,CRISNEE
6821,LACUISINE
7940,BRUGELETTE
1654,Beersel
1703,Dilbeek
2270,Herenthout
8850,Ardooie
4250,GEER
5361,SCY
6240,FARCIENNES
3300,Tienen
5336,COURRIERE
2320,Hoogstraten
5352,PERWEZ
6532,RAGNIES
7604,WASMES-AUDEMEZ-BRIFFOEIL
3665,As
5001,BELGRADE
5520,ANTHEE
7624,HOWARDRIES
7942,MEVERGNIES-LEZ-LENS
7611,LA GLANERIE
4130,ESNEUX
2450,Meerhout
2970,Schilde
8490,Jabbeke
5600,SAUTOUR
2861,Sint-Katelijne-Waver
4431,LONCIN
7034,OBOURG
8430,Middelkerke
5170,BOIS-DE-VILLERS
5070,FOSSES-LA-VILLE
2630,Aartselaar
3500,Hasselt
1820,Steenokkerzeel
3118,Rotselaar
2240,Zandhoven
6781,SELANGE
6824,CHASSEPIERRE
3018,Leuven
9750,Kruisem
7131,WAUDREZ
9120,Beveren
2845,Niel
6704,GUIRSCH
7622,LAPLAIGNE
6671,BOVIGNY
1357,NEERHEYLISSEM
9968,Assenede
5030,GEMBLOUX
7804,OSTICHES
4042,LIERS
5031,GRAND-LEEZ
9840,De Pinte
8870,Izegem
1770,Liedekerke
6830,BOUILLON
7024,CIPLY
1180,UCCLE
4690,BASSENGE
7830,SILLY
3850,Nieuwerkerken
9300,Aalst
7866,OLLIGNIES
6833,UCIMONT
4500,BEN-AHIN
3650,Dilsen-Stokkem
4540,AMAY
7912,SAINT-SAUVEUR
1440,BRAINE-LE-CHATEAU
3050,Oud-Heverlee
7641,BRUYELLE
8550,Zwevegem
6743,BUZENOL
2940,Stabroek
6687,BERTOGNE
2620,Hemiksem
7032,SPIENNES
6221,SAINT-AMAND
4671,SAIVE
4672,SAINT-REMY
8301,Knokke-Heist
1860,Meise
1435,MONT-SAINT-GUIBERT
4253,DARION
9506,Geraardsbergen
7601,ROUCOURT
5522,FALAEN
1490,COURT-SAINT-ETIENNE
2860,Sint-Katelijne-Waver
8480,Ichtegem
1745,Opwijk
1740,Ternat
3800,Sint-Truiden
1040,ETTERBEEK
2220,Heist-op-den-Berg
4650,JULEMONT
3721,Kortessem
8540,Deerlijk
2321,Hoogstraten
9572,Lierde
3293,Diest
3471,Kortenaken
1341,CEROUX-MOUSTY
9470,Denderleeuw
8470,Gistel
5561,CELLES
6662,TAVIGNY
1301,BIERGES
7512,KAIN
9636,Zwalm
6810,IZEL
7623,RONGY
6031,MONCEAU-SUR-SAMBRE
1480,TUBIZE
3061,Bertem
3570,Alken
2590,Berlaar
1160,AUDERGHEM
3792,Voeren
1502,Halle
6110,MONTIGNIES-LE-TILLEUL
7040,QUEVY-LE-PETIT
1970,Wezembeek-Oppem
3791,Voeren
6700,HEINSCH
9150,Kruibeke
1315,INCOURT
9950,Lievegem
8630,Veurne
7900,LEUZE
8720,Dentergem
2910,Essen
3290,Diest
9032,Gent
4602,CHERATTE
3960,Bree
4950,ROBERTVILLE
7620,JOLLAIN-MERLIN
7334,HAUTRAGE
9320,Aalst
7870,MONTIGNIES-LEZ-LENS
2150,Borsbeek
3530,Houthalen-Helchteren
5520,ONHAYE
6460,ROBECHIES
6890,VILLANCE
7050,JURBISE
5010,NAMUR
1342,LIMELETTE
6596,FORGE-PHILIPPE
3401,Landen
8620,Nieuwpoort
1651,Beersel
4180,HAMOIR
8906,Ieper
2040,Antwerpen
7621,LESDAIN
8954,Heuvelland
5571,WIESME
7020,MAISIERES
5574,PONDROME
9971,Kaprijke
6630,MARTELANGE
7532,BECLERS
9420,Erpe-Mere
5374,MAFFE
4160,ANTHISNES
4720,La Calamine
8380,Brugge
4122,PLAINEVAUX
3560,Lummen
3052,Oud-Heverlee
7711,DOTTIGNIES
7120,ESTINNES-AU-MONT
7521,CHERCQ
2627,Schelle
3581,Beringen
6983,ORTHO
9473,Denderleeuw
2640,Mortsel
1880,Kapelle-op-den-Bos
7130,BRAY
4600,VISE
8600,Diksmuide
9070,Destelbergen
8531,Harelbeke
6851,NOLLEVAUX
5575,RIENNE
1300,WAVRE
5573,MARTOUZIN-NEUVILLE
5555,MONCEAU-EN-ARDENNE
6941,BOMAL
9921,Lievegem
1933,Zaventem
1470,BAISY-THY
5620,ROSEE
8460,Oudenburg
9660,Brakel
1742,Ternat
8820,Torhout
4100,SERAING
6500,SOLRE-SAINT-GERY
6041,GOSSELIES
6222,BRYE
6010,COUILLET
7700,MOUSCRON
4430,ANS
9185,Wachtebeke
9250,Waasmunster
7603,BON-SECOURS
9970,Kaprijke
7110,STREPY-BRACQUEGNIES
4263,TOURINNE
5650,WALCOURT
3891,Gingelom
3980,Tessenderlo
7022,HARMIGNIES
6791,ATHUS
5589,JEMELLE
5100,DAVE
2840,Rumst
4570,MARCHIN
3580,Beringen
7090,BRAINE-LE-COMTE
9770,Kruisem
9052,Gent
6972,ERNEUVILLE
1982,Zemst
9661,Brakel
3990,Peer
3690,Zutendaal
6960,GRANDMENIL
